PAGE URL,Product Title,Quantity,p_element,Brand,Flavour,Format,Nicotine,td_element,Strenght
https://prilla.com/us/fre-nicotine-pouches/fre-wintergreen-3mg,FRE Wintergreen 3mg,20,"FRE Wintergreen 3mg incorporates one of the most popular flavors in the US with an accommodating strength for those less accustomed to nicotine or those reducing their nicotine intake. Each pouch holds 3mg of nicotine and a fresh, piney, and slightly sweet wintergreen flavor.",FRE,Wintergreen,Slim,3  mg/pouch,"Nu-X Ventures, LLC.",Light
https://prilla.com/us/fre-nicotine-pouches/fre-wintergreen-6mg,FRE Wintergreen 6mg,20,"FRE Wintergreen 6mg provides an aromatic and creamy twist to the popular mint flavor. It’s crisp, slightly sweet, and cool. More importantly, these pouches have regular strength, translating to 6mg of nicotine per sachet. It is a suitable option for those reducing their nicotine consumption or new to the product.",FRE,Wintergreen,Slim,6  mg/pouch,"Nu-X Ventures, LLC.",Normal
https://prilla.com/us/fre-nicotine-pouches/fre-wintergreen-9mg,FRE Wintergreen 9mg,20,"FRE Wintergreen 9 mg offers a fresh, outdoorsy wintergreen flavor with a touch of sweetness and a powerful kick from its strong nicotine content of 9 mg/pouch. If you are looking for an alternative to mint, this product would be an excellent choice!",FRE,Wintergreen,Slim,9  mg/pouch,"Nu-X Ventures, LLC.",
https://prilla.com/us/fre-nicotine-pouches/fre-wintergreen-mega-pack-12mg,FRE Wintergreen Mega Pack 12mg,100,FRE Wintergreen Mega Pack 12mg may just be what you need. Many users find themselves buying multiple cans because they get through the 20 pouches in each too quickly. So why not try a Mega Pack that holds 100 FRE nicotine pouches (the same amount as five cans)?,FRE,Wintergreen,Slim,12  mg/pouch,"Nu-X Ventures, LLC.",Extra Strong
https://prilla.com/us/fre-nicotine-pouches/fre-wintergreen-mega-pack-6mg,FRE Wintergreen Mega Pack 6mg,100,"FRE Wintergreen Mega Pack 6mg provides more than enough for you to enjoy and share with your friends at the same time. Either use it as a refill bag or carry it around with you. It’s important to note that the bag the pouches are in is resealable, so you can keep them fresh when you’re on the go.",FRE,Wintergreen,Slim,6  mg/pouch,"Nu-X Ventures, LLC.",Normal
https://prilla.com/us/fruit-nicotine-pouches,Fruit Pouches,,,,,,,,
https://prilla.com/us/grizzly-nicotine-pouches/grizzly-mint-12mg,Grizzly Mint 12mg,20,"Grizzly Mint 12mg is an intense nicotine pouch that packs 12mg of nicotine into each sachet, making them extra-strong and suitable for those who are better equipped when using this product. The flavor that accompanies this potent sensation is a balanced herbal profile that is not overly sweet.",Grizzly,Mint,Slim,12  mg/pouch,"American Snuff Company, LLC",Extra Strong
https://prilla.com/us/grizzly-nicotine-pouches/grizzly-original-12mg,Grizzly Original 12mg,20,"Grizzly Original 12mg isn’t for the fainthearted. It’s a tobacco-flavored product that packs 12mg of nicotine per sachet, making it a product for the more advanced nicotine pouch users. The flavor is reminiscent of Grizzly Dip, so expect a rich and bold character to accompany the robust nicotine sensation.",Grizzly,Unflavored,Slim,12  mg/pouch,"American Snuff Company, LLC",Extra Strong
https://prilla.com/us/grizzly-nicotine-pouches/grizzly-original-15mg,Grizzly Original 15mg,20,"Unlock a potent nicotine pouch experience with Grizzly Original 15mg. Each sachet is tobacco-leaf-free, holds 15mg of nicotine, and supplies a tobacco-like tasting experience that is almost as rich as the Grizzly dipping tobacco itself.",Grizzly,Unflavored,Slim,15  mg/pouch,"American Snuff Company, LLC",Extra Strong
https://prilla.com/us/grizzly-nicotine-pouches/grizzly-original-6mg,Grizzly Original 6mg,20,"Grizzly Original 6mg is a nicotine pouch from the American Snuff Company. It takes the flavor of the popular Grizzly dipping tobacco and puts it into a tobacco-free format. With a rich tobacco-like flavor and 6mg of nicotine per sachet, it’s a product for those who want to cut their tobacco intake but still enjoy that rich and bright taste.",Grizzly,Unflavored,Slim,6  mg/pouch,"American Snuff Company, LLC",Normal
